at_melbourne,at_iso,actor,actor_role,action,target_type,target,reason,details
2026-09-10 07:17:03 AEST,2026-09-09T21:17:03.298Z,participant-09,participant,attempt.started,attempt,participant-09 sql attempt 1,,"{""bankVersion"":1,""assessmentId"":""sql"",""attemptNumber"":1,""questionCount"":10}"
2026-09-10 07:17:03 AEST,2026-09-09T21:17:03.314Z,participant-09,participant,attempt.submitted,attempt,participant-09 sql attempt 1,,"{""submitKind"":""manual"",""assessmentId"":""sql"",""attemptNumber"":1,""timeUsedSeconds"":506}"
2026-09-10 07:17:03 AEST,2026-09-09T21:17:03.317Z,participant-09,participant,attempt.started,attempt,participant-09 python attempt 1,,"{""bankVersion"":1,""assessmentId"":""python"",""attemptNumber"":1,""questionCount"":10}"
2026-09-10 07:17:03 AEST,2026-09-09T21:17:03.335Z,participant-09,participant,attempt.submitted,attempt,participant-09 python attempt 1,,"{""submitKind"":""manual"",""assessmentId"":""python"",""attemptNumber"":1,""timeUsedSeconds"":445}"
2026-09-10 07:17:03 AEST,2026-09-09T21:17:03.339Z,participant-10,participant,attempt.started,attempt,participant-10 sql attempt 1,,"{""bankVersion"":1,""assessmentId"":""sql"",""attemptNumber"":1,""questionCount"":10}"
2026-09-10 07:17:03 AEST,2026-09-09T21:17:03.355Z,participant-10,participant,attempt.submitted,attempt,participant-10 sql attempt 1,,"{""submitKind"":""manual"",""assessmentId"":""sql"",""attemptNumber"":1,""timeUsedSeconds"":286}"
2026-09-10 07:17:03 AEST,2026-09-09T21:17:03.358Z,participant-10,participant,attempt.started,attempt,participant-10 python attempt 1,,"{""bankVersion"":1,""assessmentId"":""python"",""attemptNumber"":1,""questionCount"":10}"
2026-09-10 07:17:03 AEST,2026-09-09T21:17:03.376Z,participant-10,participant,attempt.submitted,attempt,participant-10 python attempt 1,,"{""submitKind"":""manual"",""assessmentId"":""python"",""attemptNumber"":1,""timeUsedSeconds"":271}"
2026-09-10 07:17:03 AEST,2026-09-09T21:17:03.379Z,participant-11,participant,attempt.started,attempt,participant-11 ta attempt 1,,"{""bankVersion"":1,""assessmentId"":""ta"",""attemptNumber"":1,""questionCount"":10}"
2026-09-10 07:17:03 AEST,2026-09-09T21:17:03.397Z,participant-11,participant,attempt.submitted,attempt,participant-11 ta attempt 1,,"{""submitKind"":""manual"",""assessmentId"":""ta"",""attemptNumber"":1,""timeUsedSeconds"":396}"
2026-09-10 07:17:03 AEST,2026-09-09T21:17:03.400Z,participant-11,participant,attempt.started,attempt,participant-11 python attempt 1,,"{""bankVersion"":1,""assessmentId"":""python"",""attemptNumber"":1,""questionCount"":10}"
2026-09-10 07:17:03 AEST,2026-09-09T21:17:03.420Z,participant-11,participant,attempt.submitted,attempt,participant-11 python attempt 1,,"{""submitKind"":""manual"",""assessmentId"":""python"",""attemptNumber"":1,""timeUsedSeconds"":298}"
2026-09-10 07:17:03 AEST,2026-09-09T21:17:03.423Z,participant-12,participant,attempt.started,attempt,participant-12 ta attempt 1,,"{""bankVersion"":1,""assessmentId"":""ta"",""attemptNumber"":1,""questionCount"":10}"
2026-09-10 07:17:03 AEST,2026-09-09T21:17:03.440Z,participant-12,participant,attempt.submitted,attempt,participant-12 ta attempt 1,,"{""submitKind"":""manual"",""assessmentId"":""ta"",""attemptNumber"":1,""timeUsedSeconds"":453}"
2026-09-10 07:17:03 AEST,2026-09-09T21:17:03.444Z,participant-12,participant,attempt.started,attempt,participant-12 sql attempt 1,,"{""bankVersion"":1,""assessmentId"":""sql"",""attemptNumber"":1,""questionCount"":10}"
2026-09-10 07:17:03 AEST,2026-09-09T21:17:03.461Z,participant-12,participant,attempt.submitted,attempt,participant-12 sql attempt 1,,"{""submitKind"":""manual"",""assessmentId"":""sql"",""attemptNumber"":1,""timeUsedSeconds"":517}"
2026-09-10 07:17:03 AEST,2026-09-09T21:17:03.465Z,participant-13,participant,attempt.started,attempt,participant-13 ta attempt 1,,"{""bankVersion"":1,""assessmentId"":""ta"",""attemptNumber"":1,""questionCount"":10}"
2026-09-10 07:17:03 AEST,2026-09-09T21:17:03.474Z,participant-14,participant,attempt.started,attempt,participant-14 sql attempt 1,,"{""bankVersion"":1,""assessmentId"":""sql"",""attemptNumber"":1,""questionCount"":10}"
2026-09-10 07:17:09 AEST,2026-09-09T21:17:09.315Z,admin,admin,attempt.reset,attempt,participant-01 ta attempt 1,Participant reported the page freezing. Verified with delivery management.,"{""userId"":""participant-01"",""assessmentId"":""ta"",""attemptNumber"":1,""statusBeforeVoid"":""submitted""}"
2026-09-10 07:17:10 AEST,2026-09-09T21:17:10.013Z,admin,admin,item.retired,item,ta-01-a,Two participants queried the wording during the pilot.,"{""slot"":1,""type"":""single"",""assessment"":""ta"",""bankVersion"":1,""remainingActiveInSlot"":1}"
2026-09-10 07:17:12 AEST,2026-09-09T21:17:12.101Z,admin,admin,participants.bulk_created,participants,,,"{""to"":""participant-16"",""from"":""participant-16"",""codes"":[""participant-16""],""count"":1}"
2026-09-10 07:17:12 AEST,2026-09-09T21:17:12.678Z,participant-16,participant,attempt.started,attempt,participant-16 ta attempt 1,,"{""bankVersion"":1,""assessmentId"":""ta"",""attemptNumber"":1,""questionCount"":10}"
2026-09-10 07:17:26 AEST,2026-09-09T21:17:26.449Z,admin,admin,participants.bulk_created,participants,,,"{""to"":""participant-17"",""from"":""participant-17"",""codes"":[""participant-17""],""count"":1}"
2026-09-10 07:17:27 AEST,2026-09-09T21:17:27.276Z,participant-17,participant,attempt.started,attempt,participant-17 ta attempt 1,,"{""bankVersion"":1,""assessmentId"":""ta"",""attemptNumber"":1,""questionCount"":10}"
2026-09-10 07:17:48 AEST,2026-09-09T21:17:48.025Z,participant-17,participant,attempt.submitted,attempt,participant-17 ta attempt 1,,"{""submitKind"":""manual"",""assessmentId"":""ta"",""attemptNumber"":1,""timeUsedSeconds"":21}"
2026-09-10 07:17:48 AEST,2026-09-09T21:17:48.209Z,participant-17,participant,attempt.started,attempt,participant-17 sql attempt 1,,"{""bankVersion"":1,""assessmentId"":""sql"",""attemptNumber"":1,""questionCount"":10}"
2026-09-10 07:18:08 AEST,2026-09-09T21:18:08.574Z,participant-17,participant,attempt.submitted,attempt,participant-17 sql attempt 1,,"{""submitKind"":""manual"",""assessmentId"":""sql"",""attemptNumber"":1,""timeUsedSeconds"":20}"
2026-09-10 07:18:08 AEST,2026-09-09T21:18:08.724Z,participant-17,participant,attempt.started,attempt,participant-17 python attempt 1,,"{""bankVersion"":1,""assessmentId"":""python"",""attemptNumber"":1,""questionCount"":10}"
2026-09-10 07:18:24 AEST,2026-09-09T21:18:24.954Z,participant-17,participant,attempt.submitted,attempt,participant-17 python attempt 1,,"{""submitKind"":""manual"",""assessmentId"":""python"",""attemptNumber"":1,""timeUsedSeconds"":16}"
2026-09-10 07:18:26 AEST,2026-09-09T21:18:26.146Z,admin,admin,participants.bulk_created,participants,,,"{""to"":""participant-18"",""from"":""participant-18"",""codes"":[""participant-18""],""count"":1}"
2026-09-10 07:18:26 AEST,2026-09-09T21:18:26.724Z,participant-18,participant,attempt.started,attempt,participant-18 ta attempt 1,,"{""bankVersion"":1,""assessmentId"":""ta"",""attemptNumber"":1,""questionCount"":10}"
2026-09-10 07:18:47 AEST,2026-09-09T21:18:47.321Z,participant-18,participant,attempt.submitted,attempt,participant-18 ta attempt 1,,"{""submitKind"":""manual"",""assessmentId"":""ta"",""attemptNumber"":1,""timeUsedSeconds"":21}"
2026-09-10 07:18:47 AEST,2026-09-09T21:18:47.474Z,participant-18,participant,attempt.started,attempt,participant-18 sql attempt 1,,"{""bankVersion"":1,""assessmentId"":""sql"",""attemptNumber"":1,""questionCount"":10}"
2026-09-10 07:19:07 AEST,2026-09-09T21:19:07.604Z,participant-18,participant,attempt.submitted,attempt,participant-18 sql attempt 1,,"{""submitKind"":""manual"",""assessmentId"":""sql"",""attemptNumber"":1,""timeUsedSeconds"":20}"
2026-09-10 07:19:07 AEST,2026-09-09T21:19:07.756Z,participant-18,participant,attempt.started,attempt,participant-18 python attempt 1,,"{""bankVersion"":1,""assessmentId"":""python"",""attemptNumber"":1,""questionCount"":10}"
2026-09-10 07:19:28 AEST,2026-09-09T21:19:28.234Z,participant-18,participant,attempt.submitted,attempt,participant-18 python attempt 1,,"{""submitKind"":""manual"",""assessmentId"":""python"",""attemptNumber"":1,""timeUsedSeconds"":20}"
2026-09-10 07:19:29 AEST,2026-09-09T21:19:29.144Z,admin,admin,participants.bulk_created,participants,,,"{""to"":""participant-19"",""from"":""participant-19"",""codes"":[""participant-19""],""count"":1}"
2026-09-10 07:19:29 AEST,2026-09-09T21:19:29.721Z,participant-19,participant,attempt.started,attempt,participant-19 ta attempt 1,,"{""bankVersion"":1,""assessmentId"":""ta"",""attemptNumber"":1,""questionCount"":10}"
2026-09-10 07:19:31 AEST,2026-09-09T21:19:31.118Z,admin,admin,exercise.closed,exercise,,,"{""closedAt"":""2026-09-09T21:19:31.117Z""}"
2026-09-10 07:19:31 AEST,2026-09-09T21:19:31.132Z,admin,admin,export.created,export,results.csv,,"{""file"":""results.csv"",""rowCount"":57}"
2026-09-10 07:19:31 AEST,2026-09-09T21:19:31.136Z,admin,admin,export.created,export,item-analysis.csv,,"{""file"":""item-analysis.csv"",""rowCount"":65}"
2026-09-10 07:19:31 AEST,2026-09-09T21:19:31.143Z,admin,admin,export.created,export,audit-log.csv,,"{""file"":""audit-log.csv"",""rowCount"":96}"
2026-09-10 07:19:31 AEST,2026-09-09T21:19:31.151Z,admin,admin,export.created,export,archive.json,,"{""file"":""archive.json"",""rowCount"":44}"
2026-09-10 07:19:31 AEST,2026-09-09T21:19:31.266Z,admin,admin,export.created,export,results.csv,,"{""file"":""results.csv"",""rowCount"":57}"
2026-09-10 07:19:31 AEST,2026-09-09T21:19:31.404Z,admin,admin,export.created,export,item-analysis.csv,,"{""file"":""item-analysis.csv"",""rowCount"":65}"
