participant_code,assessment,assessment_title,status,attempt_number,reset_count,section_1_title,section_1_score,section_1_served,section_1_threshold,section_1_met,section_2_title,section_2_score,section_2_served,section_2_threshold,section_2_met,TA-1,SQL-1,SQL-2,PY-1,PY-2a,PY-2b,GIT-1,shorthand,time_used_seconds,time_used_mmss,seed,bank_version,submit_kind,submitted_at_melbourne,submitted_at_iso
participant-04,python,Python,Submitted,1,0,core,2,6,5,No,testing,0,4,3,No,,,,Prescribed,Prescribed,Prescribed,,P1,539,08:59,098ab8528829ee906c9c8ab702d285511c4a75f71795f1a619d6d0067de0e492,1,manual,2026-09-10 07:31:47 AEST,2026-09-09T21:31:47.310Z
participant-05,ta,Test Automation Fundamentals,Submitted,1,0,fundamentals,4,10,8,No,,,,,,Prescribed,,,,,,,P2,343,05:43,c42488babda78cf8eb86891410bc26196ac99ef5705b556451aa80dcc81680cd,1,manual,2026-09-10 07:31:47 AEST,2026-09-09T21:31:47.333Z
participant-05,sql,SQL,Submitted,1,0,foundations,5,6,5,Yes,applied,4,4,3,Yes,,Credited,Credited,,,,,P2,181,03:01,75f7743ed75c2aa96afa2f3947d2572dbd509fc608f65411e63c31b105eb676a,1,manual,2026-09-10 07:31:47 AEST,2026-09-09T21:31:47.356Z
participant-05,python,Python,Submitted,1,0,core,4,6,5,No,testing,2,4,3,No,,,,Prescribed,Prescribed,Prescribed,,P2,256,04:16,f6d190611b07203171f31fea7ad3aa0541e658405fdbf6f29dec64b983b458f3,1,manual,2026-09-10 07:31:47 AEST,2026-09-09T21:31:47.379Z
participant-06,ta,Test Automation Fundamentals,Submitted,1,0,fundamentals,6,10,8,No,,,,,,Prescribed,,,,,,,P2,475,07:55,e8a6c7ed74aad7810fa00d24d5aba50002cd8983b4960c4428fbb2e68e4f90e7,1,manual,2026-09-10 07:31:47 AEST,2026-09-09T21:31:47.402Z
participant-06,sql,SQL,Submitted,1,0,foundations,6,6,5,Yes,applied,1,4,3,No,,Credited,Prescribed,,,,,P2,474,07:54,33b9305a516eb9396128b3b21db077d58d68aa049ff5310d4d69cbbb4f67a695,1,manual,2026-09-10 07:31:47 AEST,2026-09-09T21:31:47.425Z
participant-06,python,Python,Submitted,1,0,core,3,6,5,No,testing,4,4,3,Yes,,,,Prescribed,Prescribed,Prescribed,,P2,346,05:46,be0f0159466391209736ed8b99ea1ddf48a489aaba6d7c43fed4895f61556d81,1,manual,2026-09-10 07:31:47 AEST,2026-09-09T21:31:47.448Z
participant-07,ta,Test Automation Fundamentals,Submitted,1,0,fundamentals,4,10,8,No,,,,,,Prescribed,,,,,,,P1,492,08:12,6122498db28ba386221efac88388a4714505e1ddc85f2c8027cc3eb348a4d1d3,1,manual,2026-09-10 07:31:47 AEST,2026-09-09T21:31:47.470Z
participant-07,sql,SQL,Submitted,1,0,foundations,1,6,5,No,applied,1,4,3,No,,Prescribed,Prescribed,,,,,P1,471,07:51,9511131ad4e81d0ece56213eca4825614e0f92e885b5c9d4e415dfd63c301d22,1,manual,2026-09-10 07:31:47 AEST,2026-09-09T21:31:47.492Z
participant-07,python,Python,Submitted,1,0,core,3,6,5,No,testing,1,4,3,No,,,,Prescribed,Prescribed,Prescribed,,P1,309,05:09,3817d5fc388bc430a364231579f3d51d7d3689b62fa02974a130aa7b7ed4b771,1,manual,2026-09-10 07:31:47 AEST,2026-09-09T21:31:47.514Z
participant-08,ta,Test Automation Fundamentals,Submitted,1,0,fundamentals,3,10,8,No,,,,,,Prescribed,,,,,,,P3,546,09:06,25e805145e796e5c8f90851f8c1ef6ddf72480d30546968997a73c540732da4e,1,manual,2026-09-10 07:31:47 AEST,2026-09-09T21:31:47.535Z
participant-08,sql,SQL,Submitted,1,0,foundations,5,6,5,Yes,applied,3,4,3,Yes,,Credited,Credited,,,,,P3,397,06:37,e023ce621808894dd7011a1158024bc4b7403d11fde9e57379972b447e51d4c0,1,manual,2026-09-10 07:31:47 AEST,2026-09-09T21:31:47.559Z
participant-08,python,Python,Submitted,1,0,core,5,6,5,Yes,testing,3,4,3,Yes,,,,Credited,Evidence review,Evidence review,,P3,385,06:25,ee8c474a5fdffdb2ba05a10f13e192599420abd2888005759950929b2a477f69,1,manual,2026-09-10 07:31:47 AEST,2026-09-09T21:31:47.581Z
participant-09,ta,Test Automation Fundamentals,Submitted,1,0,fundamentals,5,10,8,No,,,,,,Prescribed,,,,,,,P2,365,06:05,6105cce6ad826288ff2bbba137867ab599c091a5ec41edbf843c2c7a66b469d6,1,manual,2026-09-10 07:31:47 AEST,2026-09-09T21:31:47.601Z
participant-09,sql,SQL,Submitted,1,0,foundations,5,6,5,Yes,applied,3,4,3,Yes,,Credited,Credited,,,,,P2,506,08:26,7ce58db01db35337aa00751235054cc13352889b4714cf0d8505da37a3a166bb,1,manual,2026-09-10 07:31:47 AEST,2026-09-09T21:31:47.620Z
participant-09,python,Python,Submitted,1,0,core,3,6,5,No,testing,3,4,3,Yes,,,,Prescribed,Prescribed,Prescribed,,P2,445,07:25,cd0f83f626221d664df157d885a579e2c0f460a5cebe6bca417f4e983806bb1b,1,manual,2026-09-10 07:31:47 AEST,2026-09-09T21:31:47.642Z
participant-10,ta,Test Automation Fundamentals,Not started,,0,,,,,,,,,,,,,,,,,,,,,,,,,
participant-10,sql,SQL,Submitted,1,0,foundations,4,6,5,No,applied,3,4,3,Yes,,Prescribed,Prescribed,,,,,,286,04:46,638f8d75e312cbf8e12bb9a77ef4126c729f91e0388bc094f055c2986029ff7a,1,manual,2026-09-10 07:31:47 AEST,2026-09-09T21:31:47.663Z
participant-10,python,Python,Submitted,1,0,core,4,6,5,No,testing,2,4,3,No,,,,Prescribed,Prescribed,Prescribed,,,271,04:31,6e0132db44239213a0e7ae7a1111764dfd0d2f35be25bf4e6d2eebcfdde750d3,1,manual,2026-09-10 07:31:47 AEST,2026-09-09T21:31:47.685Z
participant-11,ta,Test Automation Fundamentals,Submitted,1,0,fundamentals,8,10,8,Yes,,,,,,Evidence review,,,,,,,,396,06:36,850e3dad4be59d8d3cf90c2318bfa125d6708a9b3fd81ef8c47e1b50d890331d,1,manual,2026-09-10 07:31:47 AEST,2026-09-09T21:31:47.707Z
participant-11,sql,SQL,Not started,,0,,,,,,,,,,,,,,,,,,,,,,,,,
participant-11,python,Python,Submitted,1,0,core,6,6,5,Yes,testing,4,4,3,Yes,,,,Credited,Evidence review,Evidence review,,,298,04:58,5e1ffde41b21c6d85aa087b0235bea04ef1734952f38735bf4514ddf04763839,1,manual,2026-09-10 07:31:47 AEST,2026-09-09T21:31:47.728Z
participant-12,ta,Test Automation Fundamentals,Submitted,1,0,fundamentals,6,10,8,No,,,,,,Prescribed,,,,,,,,453,07:33,bea42435b483644bbd25cb18a012446a5d2930dca6a3374fd6eec94bcccd6a4b,1,manual,2026-09-10 07:31:47 AEST,2026-09-09T21:31:47.749Z
participant-12,sql,SQL,Submitted,1,0,foundations,5,6,5,Yes,applied,3,4,3,Yes,,Credited,Credited,,,,,,517,08:37,f2de9ec7148eec410833ad3fa2f3e25a054a70ac789e1c0d9bef05b979574e98,1,manual,2026-09-10 07:31:47 AEST,2026-09-09T21:31:47.770Z
participant-12,python,Python,Not started,,0,,,,,,,,,,,,,,,,,,,,,,,,,
participant-13,ta,Test Automation Fundamentals,In progress,1,0,,,,,,,,,,,,,,,,,,,,,a96969786b81a62e976dc0947277dade8ec16e6691db8d56edfdc36e12f15765,1,,,
participant-13,sql,SQL,Not started,,0,,,,,,,,,,,,,,,,,,,,,,,,,
participant-13,python,Python,Not started,,0,,,,,,,,,,,,,,,,,,,,,,,,,
participant-14,ta,Test Automation Fundamentals,Not started,,0,,,,,,,,,,,,,,,,,,,,,,,,,
participant-14,sql,SQL,In progress,1,0,,,,,,,,,,,,,,,,,,,,,38112695e94365e7a9f31e68c65aed4923c37dc76ca5f412b78102333332abcf,1,,,
participant-14,python,Python,Not started,,0,,,,,,,,,,,,,,,,,,,,,,,,,
participant-15,ta,Test Automation Fundamentals,Not started,,0,,,,,,,,,,,,,,,,,,,,,,,,,
participant-15,sql,SQL,Not started,,0,,,,,,,,,,,,,,,,,,,,,,,,,
participant-15,python,Python,Not started,,0,,,,,,,,,,,,,,,,,,,,,,,,,
participant-16,ta,Test Automation Fundamentals,In progress,1,0,,,,,,,,,,,,,,,,,,,,,e394c3cedc36938f4dab4236727111eb43e8ed41bd1f410ee12a73f7c4ad7b59,1,,,
participant-16,sql,SQL,Not started,,0,,,,,,,,,,,,,,,,,,,,,,,,,
participant-16,python,Python,Not started,,0,,,,,,,,,,,,,,,,,,,,,,,,,
participant-17,ta,Test Automation Fundamentals,Submitted,1,0,fundamentals,3,10,8,No,,,,,,Prescribed,,,,,,,P1,21,00:21,e050f02299e0bdfc7df470211bdb833d03b0173f72b2824d14701c162f25be16,1,manual,2026-09-10 07:32:33 AEST,2026-09-09T21:32:33.712Z
participant-17,sql,SQL,Submitted,1,0,foundations,3,6,5,No,applied,0,4,3,No,,Prescribed,Prescribed,,,,,P1,20,00:20,82ac4a39be14f6843d00552273c9a6b8dfb02adca0fac3fad109ce940121d178,1,manual,2026-09-10 07:32:54 AEST,2026-09-09T21:32:54.051Z
participant-17,python,Python,Submitted,1,0,core,2,6,5,No,testing,0,4,3,No,,,,Prescribed,Prescribed,Prescribed,,P1,16,00:16,68ecc63a4dcc6ba74b609138e0a55a37ca375ec2453fe1ce8fb792f488cf44a6,1,manual,2026-09-10 07:33:10 AEST,2026-09-09T21:33:10.533Z
participant-18,ta,Test Automation Fundamentals,Submitted,1,0,fundamentals,10,10,8,Yes,,,,,,Evidence review,,,,,,,P3,21,00:21,30d9be542d43c9fab42f31d02625abf1a670376229d3fdcfa5ba51d90e3b23b6,1,manual,2026-09-10 07:33:33 AEST,2026-09-09T21:33:33.149Z
participant-18,sql,SQL,Submitted,1,0,foundations,6,6,5,Yes,applied,4,4,3,Yes,,Credited,Credited,,,,,P3,20,00:20,7d25ce7978cd2033db737c9f70a36e851481b692ba42bdab536a0762446cd8e7,1,manual,2026-09-10 07:33:53 AEST,2026-09-09T21:33:53.565Z
participant-18,python,Python,Submitted,1,0,core,6,6,5,Yes,testing,4,4,3,Yes,,,,Credited,Evidence review,Evidence review,,P3,20,00:20,d5c7d9821236bdb55ceaeffdf28456782176205fe104f9e12e0f94362d6639ff,1,manual,2026-09-10 07:34:13 AEST,2026-09-09T21:34:13.965Z
participant-19,ta,Test Automation Fundamentals,In progress,1,0,,,,,,,,,,,,,,,,,,,,,6325272e1abd17b7316cced758e934562af4b60018749677f8174a4cb5c859fc,1,,,
participant-19,sql,SQL,Not started,,0,,,,,,,,,,,,,,,,,,,,,,,,,
participant-19,python,Python,Not started,,0,,,,,,,,,,,,,,,,,,,,,,,,,
