item_id,assessment,section,slot,type,attempts,correct,facility_percent,distribution,outlier,outlier_reason,retired,retired_at_melbourne,retired_at_iso
sql-08-a,sql,applied,8,single,0,0,,a*: 0; b: 0; c: 0; d: 0; unanswered: 0,No,,No,,
sql-08-b,sql,applied,8,single,0,0,,a*: 0; b: 0; c: 0; d: 0; unanswered: 0,No,,No,,
sql-08-c,sql,applied,8,single,0,0,,a*: 0; b: 0; c: 0; d: 0; unanswered: 0,No,,No,,
sql-09-a,sql,applied,9,single,0,0,,a*: 0; b: 0; c: 0; d: 0; unanswered: 0,No,,No,,
sql-09-b,sql,applied,9,single,0,0,,a*: 0; b: 0; c: 0; d: 0; unanswered: 0,No,,No,,
sql-10-a,sql,applied,10,multi,0,0,,a*: 0; b*: 0; c*: 0; d: 0; e: 0; f: 0; unanswered: 0,No,,No,,
sql-10-b,sql,applied,10,multi,0,0,,a*: 0; b: 0; c: 0; d*: 0; e: 0; f*: 0; unanswered: 0,No,,No,,
python-01-a,python,core,1,single,0,0,,a: 0; b: 0; c*: 0; d: 0; unanswered: 0,No,,No,,
python-01-b,python,core,1,single,0,0,,a: 0; b: 0; c*: 0; d: 0; unanswered: 0,No,,No,,
python-02-a,python,core,2,single,0,0,,a: 0; b*: 0; c: 0; d: 0; unanswered: 0,No,,No,,
python-02-b,python,core,2,single,0,0,,a: 0; b*: 0; c: 0; d: 0; unanswered: 0,No,,No,,
python-03-a,python,core,3,single,0,0,,a*: 0; b: 0; c: 0; d: 0; unanswered: 0,No,,No,,
python-03-b,python,core,3,single,0,0,,a*: 0; b: 0; c: 0; d: 0; unanswered: 0,No,,No,,
python-04-a,python,core,4,single,0,0,,a*: 0; b: 0; c: 0; d: 0; unanswered: 0,No,,No,,
python-04-b,python,core,4,single,0,0,,a*: 0; b: 0; c: 0; d: 0; unanswered: 0,No,,No,,
python-05-a,python,core,5,single,0,0,,a*: 0; b: 0; c: 0; d: 0; unanswered: 0,No,,No,,
python-05-b,python,core,5,single,0,0,,a*: 0; b: 0; c: 0; d: 0; unanswered: 0,No,,No,,
python-06-a,python,core,6,single,0,0,,a*: 0; b: 0; c: 0; d: 0; unanswered: 0,No,,No,,
python-06-b,python,core,6,single,0,0,,a*: 0; b: 0; c: 0; d: 0; unanswered: 0,No,,No,,
python-06-c,python,core,6,single,0,0,,a*: 0; b: 0; c: 0; d: 0; unanswered: 0,No,,No,,
python-07-a,python,testing,7,multi,0,0,,a*: 0; b: 0; c*: 0; d: 0; e: 0; f: 0; unanswered: 0,No,,No,,
python-07-b,python,testing,7,multi,0,0,,a*: 0; b: 0; c*: 0; d: 0; e: 0; unanswered: 0,No,,No,,
python-07-c,python,testing,7,multi,0,0,,a*: 0; b: 0; c: 0; d*: 0; e: 0; unanswered: 0,No,,No,,
python-08-a,python,testing,8,single,0,0,,a*: 0; b: 0; c: 0; d: 0; unanswered: 0,No,,No,,
python-08-b,python,testing,8,single,0,0,,a*: 0; b: 0; c: 0; d: 0; unanswered: 0,No,,No,,
python-09-a,python,testing,9,single,0,0,,a*: 0; b: 0; c: 0; d: 0; unanswered: 0,No,,No,,
python-09-b,python,testing,9,single,0,0,,a*: 0; b: 0; c: 0; d: 0; unanswered: 0,No,,No,,
python-10-a,python,testing,10,multi,0,0,,a*: 0; b*: 0; c*: 0; d: 0; e: 0; f: 0; unanswered: 0,No,,No,,
python-10-b,python,testing,10,multi,0,0,,a*: 0; b*: 0; c*: 0; d: 0; e: 0; f: 0; unanswered: 0,No,,No,,
